epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,1331.5692138671875,0.001,1331.5692138671875,1004.26904296875,1004.26904296875
1,1131.628662109375,0.001,1131.628662109375,971.0443115234375,971.0443115234375
2,1106.34765625,0.001,1106.34765625,950.7632446289062,950.7632446289062
3,1093.926513671875,0.001,1093.926513671875,945.8886108398438,945.8886108398438
4,1086.44970703125,0.001,1086.44970703125,946.3078002929688,946.3078002929688
5,1079.5533447265625,0.001,1079.5533447265625,948.8616943359375,948.8616943359375
6,1077.0396728515625,0.001,1077.0396728515625,937.2786865234375,937.2786865234375
7,1070.0350341796875,0.001,1070.0350341796875,936.5838623046875,936.5838623046875
8,1062.5753173828125,0.001,1062.5753173828125,921.7833251953125,921.7833251953125
9,1057.4014892578125,0.001,1057.4014892578125,919.2659912109375,919.2659912109375
10,1051.23046875,0.001,1051.23046875,917.286376953125,917.286376953125
11,1041.332275390625,0.001,1041.332275390625,909.5892333984375,909.5892333984375
12,1040.22216796875,0.001,1040.22216796875,907.6394653320312,907.6394653320312
13,1031.1708984375,0.001,1031.1708984375,896.9263305664062,896.9263305664062
14,1026.0125732421875,0.001,1026.0125732421875,897.20947265625,897.20947265625
15,1023.1898803710938,0.001,1023.1898803710938,891.9906616210938,891.9906616210938
16,1019.7312622070312,0.001,1019.7312622070312,905.3163452148438,905.3163452148438
17,1015.4300537109375,0.001,1015.4300537109375,893.109375,893.109375
18,1013.006591796875,0.001,1013.006591796875,904.6088256835938,904.6088256835938
19,1009.0799560546875,0.001,1009.0799560546875,885.1406860351562,885.1406860351562
20,1007.2261962890625,0.001,1007.2261962890625,881.979736328125,881.979736328125
21,1001.4791870117188,0.001,1001.4791870117188,884.6435546875,884.6435546875
22,994.5267333984375,0.001,994.5267333984375,881.7905883789062,881.7905883789062
23,987.25244140625,0.001,987.25244140625,874.74658203125,874.74658203125
24,982.06689453125,0.001,982.06689453125,880.0618286132812,880.0618286132812
25,979.6320190429688,0.001,979.6320190429688,870.7742309570312,870.7742309570312
26,976.63330078125,0.001,976.63330078125,881.2130126953125,881.2130126953125
27,974.5814208984375,0.001,974.5814208984375,872.4564208984375,872.4564208984375
28,971.7308959960938,0.001,971.7308959960938,867.0781860351562,867.0781860351562
29,970.4979248046875,0.001,970.4979248046875,867.0090942382812,867.0090942382812
30,967.050048828125,0.001,967.050048828125,862.4124145507812,862.4124145507812
31,964.9660034179688,0.001,964.9660034179688,865.4385375976562,865.4385375976562
32,961.0828857421875,0.001,961.0828857421875,862.3760986328125,862.3760986328125
33,961.0205078125,0.001,961.0205078125,858.8662719726562,858.8662719726562
34,958.8040161132812,0.001,958.8040161132812,857.8225708007812,857.8225708007812
35,957.8012084960938,0.001,957.8012084960938,874.9776000976562,874.9776000976562
36,954.7999267578125,0.001,954.7999267578125,856.484619140625,856.484619140625
37,952.5496826171875,0.001,952.5496826171875,871.7152099609375,871.7152099609375
38,950.7435302734375,0.001,950.7435302734375,853.262939453125,853.262939453125
39,947.33740234375,0.001,947.33740234375,878.1526489257812,878.1526489257812
40,946.8521118164062,0.001,946.8521118164062,866.0370483398438,866.0370483398438
41,944.7642211914062,0.001,944.7642211914062,855.2810668945312,855.2810668945312
42,944.780029296875,0.001,944.780029296875,854.6935424804688,854.6935424804688
43,942.6363525390625,0.001,942.6363525390625,864.1784057617188,864.1784057617188
44,934.7357788085938,0.00020000001,934.7357788085938,854.193115234375,854.193115234375
45,933.5468139648438,0.00020000001,933.5468139648438,854.4091186523438,854.4091186523438
46,932.261474609375,0.00020000001,932.261474609375,853.8673095703125,853.8673095703125
47,932.241943359375,0.00020000001,932.241943359375,848.6574096679688,848.6574096679688
48,931.7451171875,0.00020000001,931.7451171875,847.6826171875,847.6826171875
49,931.9738159179688,0.00020000001,931.9738159179688,849.9432373046875,849.9432373046875
50,931.2931518554688,0.00020000001,931.2931518554688,848.8980102539062,848.8980102539062
51,928.4049682617188,0.00020000001,928.4049682617188,855.3870239257812,855.3870239257812
52,930.9170532226562,0.00020000001,930.9170532226562,849.668212890625,849.668212890625
53,927.4510498046875,0.00020000001,927.4510498046875,849.127197265625,849.127197265625
54,927.02001953125,4.0000003e-05,927.02001953125,849.5820922851562,849.5820922851562
55,928.0137939453125,4.0000003e-05,928.0137939453125,850.40869140625,850.40869140625
56,928.0086669921875,4.0000003e-05,928.0086669921875,849.9944458007812,849.9944458007812
57,927.5763549804688,4.0000003e-05,927.5763549804688,847.498291015625,847.498291015625
58,927.1262817382812,4.0000003e-05,927.1262817382812,849.5780029296875,849.5780029296875
59,925.9051513671875,4.0000003e-05,925.9051513671875,853.99169921875,853.99169921875
60,927.3486938476562,4.0000003e-05,927.3486938476562,848.6425170898438,848.6425170898438
61,927.4501953125,4.0000003e-05,927.4501953125,847.7229614257812,847.7229614257812
62,928.0899658203125,4.0000003e-05,928.0899658203125,849.176025390625,849.176025390625
63,925.2614135742188,8.000001e-06,925.2614135742188,849.74462890625,849.74462890625
64,925.7054443359375,8.000001e-06,925.7054443359375,849.4786376953125,849.4786376953125
65,925.8194580078125,8.000001e-06,925.8194580078125,848.88916015625,848.88916015625
66,925.9827880859375,8.000001e-06,925.9827880859375,849.009033203125,849.009033203125
67,924.4547119140625,8.000001e-06,924.4547119140625,849.6237182617188,849.6237182617188
