epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,187.37411499023438,0.001,187.37411499023438,184.1219482421875,184.1219482421875
1,180.51168823242188,0.001,180.51168823242188,177.2848358154297,177.2848358154297
2,176.67794799804688,0.001,176.67794799804688,174.47744750976562,174.47744750976562
3,175.15037536621094,0.001,175.15037536621094,174.5093994140625,174.5093994140625
4,174.36468505859375,0.001,174.36468505859375,173.06771850585938,173.06771850585938
5,173.6449737548828,0.001,173.6449737548828,171.93222045898438,171.93222045898438
6,173.03936767578125,0.001,173.03936767578125,171.907958984375,171.907958984375
7,172.62841796875,0.001,172.62841796875,171.27972412109375,171.27972412109375
8,172.2102813720703,0.001,172.2102813720703,170.86585998535156,170.86585998535156
9,171.98863220214844,0.001,171.98863220214844,170.74342346191406,170.74342346191406
10,171.6698455810547,0.001,171.6698455810547,170.44371032714844,170.44371032714844
11,171.4945068359375,0.001,171.4945068359375,170.43296813964844,170.43296813964844
12,171.05311584472656,0.001,171.05311584472656,170.67100524902344,170.67100524902344
13,170.94651794433594,0.001,170.94651794433594,169.7767333984375,169.7767333984375
14,170.64227294921875,0.001,170.64227294921875,170.05258178710938,170.05258178710938
15,170.5523681640625,0.001,170.5523681640625,169.54429626464844,169.54429626464844
16,170.52285766601562,0.001,170.52285766601562,170.4196014404297,170.4196014404297
17,170.26318359375,0.001,170.26318359375,169.4129180908203,169.4129180908203
18,170.155029296875,0.001,170.155029296875,169.15997314453125,169.15997314453125
19,169.9952392578125,0.001,169.9952392578125,169.63265991210938,169.63265991210938
20,169.7609100341797,0.001,169.7609100341797,169.49465942382812,169.49465942382812
21,169.7625732421875,0.001,169.7625732421875,168.7686767578125,168.7686767578125
22,169.509521484375,0.001,169.509521484375,169.17031860351562,169.17031860351562
23,169.45030212402344,0.001,169.45030212402344,168.6679229736328,168.6679229736328
24,169.26577758789062,0.001,169.26577758789062,168.88906860351562,168.88906860351562
25,169.07769775390625,0.001,169.07769775390625,168.67718505859375,168.67718505859375
26,169.44461059570312,0.001,169.44461059570312,168.58694458007812,168.58694458007812
27,169.07864379882812,0.001,169.07864379882812,168.86280822753906,168.86280822753906
28,169.13844299316406,0.001,169.13844299316406,168.46531677246094,168.46531677246094
29,168.7518310546875,0.001,168.7518310546875,169.00189208984375,169.00189208984375
30,168.64816284179688,0.001,168.64816284179688,168.6903839111328,168.6903839111328
31,168.79383850097656,0.001,168.79383850097656,168.18670654296875,168.18670654296875
32,168.7025146484375,0.001,168.7025146484375,168.52285766601562,168.52285766601562
33,168.71360778808594,0.001,168.71360778808594,168.88180541992188,168.88180541992188
34,168.5352783203125,0.001,168.5352783203125,168.38990783691406,168.38990783691406
35,168.48663330078125,0.001,168.48663330078125,168.41949462890625,168.41949462890625
36,168.4542694091797,0.001,168.4542694091797,167.90689086914062,167.90689086914062
37,168.42922973632812,0.001,168.42922973632812,168.16189575195312,168.16189575195312
38,168.29461669921875,0.001,168.29461669921875,169.04734802246094,169.04734802246094
39,168.31655883789062,0.001,168.31655883789062,168.08106994628906,168.08106994628906
40,168.16746520996094,0.001,168.16746520996094,168.19064331054688,168.19064331054688
41,168.11058044433594,0.001,168.11058044433594,167.97470092773438,167.97470092773438
42,167.1785430908203,0.00020000001,167.1785430908203,167.63323974609375,167.63323974609375
43,167.2691192626953,0.00020000001,167.2691192626953,167.76856994628906,167.76856994628906
44,167.1631622314453,0.00020000001,167.1631622314453,167.5561981201172,167.5561981201172
45,167.05162048339844,0.00020000001,167.05162048339844,167.56919860839844,167.56919860839844
46,167.15672302246094,0.00020000001,167.15672302246094,167.64964294433594,167.64964294433594
47,166.98333740234375,0.00020000001,166.98333740234375,167.5360565185547,167.5360565185547
48,166.95230102539062,0.00020000001,166.95230102539062,167.50521850585938,167.50521850585938
49,167.0275421142578,0.00020000001,167.0275421142578,167.5635223388672,167.5635223388672
50,166.97378540039062,0.00020000001,166.97378540039062,167.3783416748047,167.3783416748047
51,167.18348693847656,0.00020000001,167.18348693847656,167.4976348876953,167.4976348876953
52,166.9510955810547,0.00020000001,166.9510955810547,167.48727416992188,167.48727416992188
53,167.0745849609375,0.00020000001,167.0745849609375,167.4646453857422,167.4646453857422
54,166.86090087890625,0.00020000001,166.86090087890625,167.59812927246094,167.59812927246094
55,166.82334899902344,0.00020000001,166.82334899902344,167.43667602539062,167.43667602539062
56,166.7674560546875,4.0000003e-05,166.7674560546875,167.37669372558594,167.37669372558594
57,166.8448944091797,4.0000003e-05,166.8448944091797,167.41250610351562,167.41250610351562
58,166.86224365234375,4.0000003e-05,166.86224365234375,167.41978454589844,167.41978454589844
59,166.81080627441406,4.0000003e-05,166.81080627441406,167.39439392089844,167.39439392089844
60,166.58212280273438,4.0000003e-05,166.58212280273438,167.40127563476562,167.40127563476562
61,166.56668090820312,4.0000003e-05,166.56668090820312,167.37892150878906,167.37892150878906
62,166.7076873779297,8.000001e-06,166.7076873779297,167.3756103515625,167.3756103515625
63,166.60203552246094,8.000001e-06,166.60203552246094,167.37144470214844,167.37144470214844
64,166.59742736816406,8.000001e-06,166.59742736816406,167.36419677734375,167.36419677734375
65,166.615478515625,8.000001e-06,166.615478515625,167.35501098632812,167.35501098632812
66,166.521728515625,8.000001e-06,166.521728515625,167.35617065429688,167.35617065429688
67,166.4472198486328,8.000001e-06,166.4472198486328,167.3527069091797,167.3527069091797
68,166.62013244628906,8.000001e-06,166.62013244628906,167.35848999023438,167.35848999023438
69,166.66751098632812,8.000001e-06,166.66751098632812,167.36497497558594,167.36497497558594
70,166.67311096191406,8.000001e-06,166.67311096191406,167.36753845214844,167.36753845214844
71,166.66677856445312,8.000001e-06,166.66677856445312,167.36233520507812,167.36233520507812
72,166.76138305664062,8.000001e-06,166.76138305664062,167.3643341064453,167.3643341064453
73,166.70594787597656,1.6000001e-06,166.70594787597656,167.36602783203125,167.36602783203125
74,166.638916015625,1.6000001e-06,166.638916015625,167.36383056640625,167.36383056640625
75,166.49720764160156,1.6000001e-06,166.49720764160156,167.3634490966797,167.3634490966797
76,166.57852172851562,1.6000001e-06,166.57852172851562,167.36480712890625,167.36480712890625
77,166.7456817626953,1.6000001e-06,166.7456817626953,167.3640594482422,167.3640594482422
