epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,182.84371948242188,0.001,182.84371948242188,175.93389892578125,175.93389892578125
1,175.91004943847656,0.001,175.91004943847656,173.78445434570312,173.78445434570312
2,174.2606201171875,0.001,174.2606201171875,172.9209442138672,172.9209442138672
3,173.3892822265625,0.001,173.3892822265625,172.7095947265625,172.7095947265625
4,172.7260284423828,0.001,172.7260284423828,171.2605743408203,171.2605743408203
5,172.2340545654297,0.001,172.2340545654297,170.9175262451172,170.9175262451172
6,171.83795166015625,0.001,171.83795166015625,171.27655029296875,171.27655029296875
7,171.3938751220703,0.001,171.3938751220703,170.12850952148438,170.12850952148438
8,171.044189453125,0.001,171.044189453125,171.1626739501953,171.1626739501953
9,170.88124084472656,0.001,170.88124084472656,169.8284149169922,169.8284149169922
10,170.6590118408203,0.001,170.6590118408203,170.03811645507812,170.03811645507812
11,170.5358428955078,0.001,170.5358428955078,169.69903564453125,169.69903564453125
12,170.2909393310547,0.001,170.2909393310547,169.40493774414062,169.40493774414062
13,170.34181213378906,0.001,170.34181213378906,169.49880981445312,169.49880981445312
14,170.15853881835938,0.001,170.15853881835938,169.8648223876953,169.8648223876953
15,170.0115966796875,0.001,170.0115966796875,170.00735473632812,170.00735473632812
16,169.8848419189453,0.001,169.8848419189453,168.89830017089844,168.89830017089844
17,169.6989288330078,0.001,169.6989288330078,169.1735076904297,169.1735076904297
18,169.5992431640625,0.001,169.5992431640625,169.1382293701172,169.1382293701172
19,169.41702270507812,0.001,169.41702270507812,168.91616821289062,168.91616821289062
20,169.2928466796875,0.001,169.2928466796875,168.70164489746094,168.70164489746094
21,169.3557586669922,0.001,169.3557586669922,169.75889587402344,169.75889587402344
22,169.1956787109375,0.001,169.1956787109375,168.65036010742188,168.65036010742188
23,169.11512756347656,0.001,169.11512756347656,169.62474060058594,169.62474060058594
24,169.11129760742188,0.001,169.11129760742188,168.89768981933594,168.89768981933594
25,168.86019897460938,0.001,168.86019897460938,168.73130798339844,168.73130798339844
26,168.87083435058594,0.001,168.87083435058594,168.7391357421875,168.7391357421875
27,168.82899475097656,0.001,168.82899475097656,168.5741424560547,168.5741424560547
28,168.93643188476562,0.001,168.93643188476562,168.4874725341797,168.4874725341797
29,168.68096923828125,0.001,168.68096923828125,167.89166259765625,167.89166259765625
30,168.53346252441406,0.001,168.53346252441406,168.4952850341797,168.4952850341797
31,168.6142120361328,0.001,168.6142120361328,168.1407928466797,168.1407928466797
32,168.45559692382812,0.001,168.45559692382812,168.2828369140625,168.2828369140625
33,168.4794158935547,0.001,168.4794158935547,168.79884338378906,168.79884338378906
34,168.4453125,0.001,168.4453125,168.05859375,168.05859375
35,167.429443359375,0.00020000001,167.429443359375,167.49099731445312,167.49099731445312
36,167.2804412841797,0.00020000001,167.2804412841797,167.31712341308594,167.31712341308594
37,167.15455627441406,0.00020000001,167.15455627441406,167.51788330078125,167.51788330078125
38,167.04946899414062,0.00020000001,167.04946899414062,167.27207946777344,167.27207946777344
39,166.92037963867188,0.00020000001,166.92037963867188,167.30335998535156,167.30335998535156
40,166.96920776367188,0.00020000001,166.96920776367188,167.39102172851562,167.39102172851562
41,167.0870819091797,0.00020000001,167.0870819091797,167.59490966796875,167.59490966796875
42,166.81468200683594,0.00020000001,166.81468200683594,167.5214385986328,167.5214385986328
43,166.9484100341797,0.00020000001,166.9484100341797,167.3512725830078,167.3512725830078
44,166.65777587890625,4.0000003e-05,166.65777587890625,167.25460815429688,167.25460815429688
45,166.55258178710938,4.0000003e-05,166.55258178710938,167.26600646972656,167.26600646972656
46,166.47967529296875,4.0000003e-05,166.47967529296875,167.24380493164062,167.24380493164062
47,166.62838745117188,4.0000003e-05,166.62838745117188,167.3099365234375,167.3099365234375
48,166.67039489746094,4.0000003e-05,166.67039489746094,167.32513427734375,167.32513427734375
49,166.5060272216797,4.0000003e-05,166.5060272216797,167.2738800048828,167.2738800048828
50,166.5479736328125,4.0000003e-05,166.5479736328125,167.22430419921875,167.22430419921875
51,166.71266174316406,4.0000003e-05,166.71266174316406,167.260009765625,167.260009765625
52,166.66383361816406,4.0000003e-05,166.66383361816406,167.27284240722656,167.27284240722656
53,166.37008666992188,4.0000003e-05,166.37008666992188,167.2528839111328,167.2528839111328
54,166.64584350585938,4.0000003e-05,166.64584350585938,167.2884521484375,167.2884521484375
55,166.67189025878906,4.0000003e-05,166.67189025878906,167.2796173095703,167.2796173095703
56,166.39059448242188,8.000001e-06,166.39059448242188,167.2398681640625,167.2398681640625
57,166.5501708984375,8.000001e-06,166.5501708984375,167.241455078125,167.241455078125
58,166.49310302734375,8.000001e-06,166.49310302734375,167.24575805664062,167.24575805664062
59,166.68359375,8.000001e-06,166.68359375,167.2473907470703,167.2473907470703
60,166.52513122558594,8.000001e-06,166.52513122558594,167.2346954345703,167.2346954345703
