epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,182.4685516357422,0.001,182.4685516357422,177.63755798339844,177.63755798339844
1,175.7500457763672,0.001,175.7500457763672,174.34022521972656,174.34022521972656
2,174.0774383544922,0.001,174.0774383544922,172.50035095214844,172.50035095214844
3,173.26516723632812,0.001,173.26516723632812,171.93295288085938,171.93295288085938
4,172.53907775878906,0.001,172.53907775878906,171.41123962402344,171.41123962402344
5,172.1188507080078,0.001,172.1188507080078,171.3382110595703,171.3382110595703
6,171.89682006835938,0.001,171.89682006835938,170.7728729248047,170.7728729248047
7,171.41505432128906,0.001,171.41505432128906,171.18740844726562,171.18740844726562
8,171.16920471191406,0.001,171.16920471191406,171.2767791748047,171.2767791748047
9,170.9851837158203,0.001,170.9851837158203,170.61508178710938,170.61508178710938
10,170.845947265625,0.001,170.845947265625,170.1116943359375,170.1116943359375
11,170.6522979736328,0.001,170.6522979736328,169.9149169921875,169.9149169921875
12,170.56300354003906,0.001,170.56300354003906,169.42681884765625,169.42681884765625
13,170.39413452148438,0.001,170.39413452148438,170.26321411132812,170.26321411132812
14,170.259521484375,0.001,170.259521484375,169.29356384277344,169.29356384277344
15,169.9486541748047,0.001,169.9486541748047,169.48052978515625,169.48052978515625
16,170.0231170654297,0.001,170.0231170654297,168.9387664794922,168.9387664794922
17,169.89657592773438,0.001,169.89657592773438,169.138916015625,169.138916015625
18,169.6614532470703,0.001,169.6614532470703,169.20677185058594,169.20677185058594
19,169.67857360839844,0.001,169.67857360839844,169.20370483398438,169.20370483398438
20,169.58062744140625,0.001,169.58062744140625,169.79434204101562,169.79434204101562
21,169.38897705078125,0.001,169.38897705078125,169.3177947998047,169.3177947998047
22,168.40953063964844,0.00020000001,168.40953063964844,168.08438110351562,168.08438110351562
23,168.16505432128906,0.00020000001,168.16505432128906,167.9049072265625,167.9049072265625
24,168.2406463623047,0.00020000001,168.2406463623047,167.8740234375,167.8740234375
25,168.11746215820312,0.00020000001,168.11746215820312,167.89710998535156,167.89710998535156
26,168.16455078125,0.00020000001,168.16455078125,167.88809204101562,167.88809204101562
27,168.158935546875,0.00020000001,168.158935546875,167.7596893310547,167.7596893310547
28,167.7496795654297,0.00020000001,167.7496795654297,167.63136291503906,167.63136291503906
29,167.9813232421875,0.00020000001,167.9813232421875,167.60952758789062,167.60952758789062
30,167.74085998535156,0.00020000001,167.74085998535156,167.68594360351562,167.68594360351562
31,167.87135314941406,0.00020000001,167.87135314941406,167.68553161621094,167.68553161621094
32,167.73974609375,0.00020000001,167.73974609375,167.7250213623047,167.7250213623047
33,167.96437072753906,0.00020000001,167.96437072753906,167.74818420410156,167.74818420410156
34,167.7974090576172,0.00020000001,167.7974090576172,167.5311279296875,167.5311279296875
35,167.6905517578125,0.00020000001,167.6905517578125,167.56983947753906,167.56983947753906
36,167.80807495117188,0.00020000001,167.80807495117188,167.5260467529297,167.5260467529297
37,167.6912078857422,0.00020000001,167.6912078857422,167.62188720703125,167.62188720703125
38,167.76414489746094,0.00020000001,167.76414489746094,167.54971313476562,167.54971313476562
39,167.57546997070312,0.00020000001,167.57546997070312,167.58160400390625,167.58160400390625
40,167.7265167236328,0.00020000001,167.7265167236328,167.5526123046875,167.5526123046875
41,167.60458374023438,0.00020000001,167.60458374023438,167.61630249023438,167.61630249023438
42,167.38063049316406,4.0000003e-05,167.38063049316406,167.42977905273438,167.42977905273438
43,167.2324981689453,4.0000003e-05,167.2324981689453,167.33078002929688,167.33078002929688
44,167.27442932128906,4.0000003e-05,167.27442932128906,167.3197021484375,167.3197021484375
45,167.32618713378906,4.0000003e-05,167.32618713378906,167.3990020751953,167.3990020751953
46,167.17636108398438,4.0000003e-05,167.17636108398438,167.36184692382812,167.36184692382812
47,167.237060546875,4.0000003e-05,167.237060546875,167.35951232910156,167.35951232910156
48,167.3245391845703,4.0000003e-05,167.3245391845703,167.35842895507812,167.35842895507812
49,167.30831909179688,4.0000003e-05,167.30831909179688,167.40078735351562,167.40078735351562
50,167.18247985839844,8.000001e-06,167.18247985839844,167.38299560546875,167.38299560546875
51,167.1936798095703,8.000001e-06,167.1936798095703,167.37649536132812,167.37649536132812
52,167.28805541992188,8.000001e-06,167.28805541992188,167.3557586669922,167.3557586669922
53,167.21751403808594,8.000001e-06,167.21751403808594,167.36526489257812,167.36526489257812
54,167.2490234375,8.000001e-06,167.2490234375,167.35960388183594,167.35960388183594
