epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,185.50607299804688,0.001,185.50607299804688,180.99911499023438,180.99911499023438
1,177.99949645996094,0.001,177.99949645996094,175.09866333007812,175.09866333007812
2,175.0679473876953,0.001,175.0679473876953,173.28941345214844,173.28941345214844
3,173.9061279296875,0.001,173.9061279296875,173.5915069580078,173.5915069580078
4,173.095458984375,0.001,173.095458984375,172.10763549804688,172.10763549804688
5,172.50856018066406,0.001,172.50856018066406,171.46824645996094,171.46824645996094
6,172.15020751953125,0.001,172.15020751953125,171.04901123046875,171.04901123046875
7,171.58352661132812,0.001,171.58352661132812,170.61099243164062,170.61099243164062
8,171.35516357421875,0.001,171.35516357421875,170.4080352783203,170.4080352783203
9,171.0935821533203,0.001,171.0935821533203,170.43972778320312,170.43972778320312
10,170.76431274414062,0.001,170.76431274414062,169.59056091308594,169.59056091308594
11,170.60140991210938,0.001,170.60140991210938,169.60093688964844,169.60093688964844
12,170.3985137939453,0.001,170.3985137939453,169.96458435058594,169.96458435058594
13,170.18455505371094,0.001,170.18455505371094,169.8260955810547,169.8260955810547
14,169.9397430419922,0.001,169.9397430419922,169.82676696777344,169.82676696777344
15,169.7975616455078,0.001,169.7975616455078,169.1390838623047,169.1390838623047
16,169.66770935058594,0.001,169.66770935058594,169.56275939941406,169.56275939941406
17,169.59796142578125,0.001,169.59796142578125,169.25762939453125,169.25762939453125
18,169.35340881347656,0.001,169.35340881347656,168.7086639404297,168.7086639404297
19,169.16078186035156,0.001,169.16078186035156,169.01083374023438,169.01083374023438
20,169.13272094726562,0.001,169.13272094726562,168.30694580078125,168.30694580078125
21,169.02845764160156,0.001,169.02845764160156,169.0005340576172,169.0005340576172
22,168.96250915527344,0.001,168.96250915527344,168.81996154785156,168.81996154785156
23,168.91891479492188,0.001,168.91891479492188,168.9319305419922,168.9319305419922
24,168.79165649414062,0.001,168.79165649414062,168.59915161132812,168.59915161132812
25,168.6166534423828,0.001,168.6166534423828,168.83824157714844,168.83824157714844
26,167.8930206298828,0.00020000001,167.8930206298828,167.803466796875,167.803466796875
27,167.9136505126953,0.00020000001,167.9136505126953,167.847412109375,167.847412109375
28,167.80941772460938,0.00020000001,167.80941772460938,167.84756469726562,167.84756469726562
29,167.47412109375,0.00020000001,167.47412109375,167.7342529296875,167.7342529296875
30,167.6571807861328,0.00020000001,167.6571807861328,167.610107421875,167.610107421875
31,167.43020629882812,0.00020000001,167.43020629882812,167.58966064453125,167.58966064453125
32,167.51222229003906,0.00020000001,167.51222229003906,167.62393188476562,167.62393188476562
33,167.42227172851562,0.00020000001,167.42227172851562,167.6090850830078,167.6090850830078
34,167.3321990966797,0.00020000001,167.3321990966797,167.685791015625,167.685791015625
35,167.36085510253906,0.00020000001,167.36085510253906,167.4825439453125,167.4825439453125
36,167.3224639892578,0.00020000001,167.3224639892578,167.49208068847656,167.49208068847656
37,167.24951171875,0.00020000001,167.24951171875,167.3466796875,167.3466796875
38,167.3890838623047,0.00020000001,167.3890838623047,167.43199157714844,167.43199157714844
39,167.34295654296875,0.00020000001,167.34295654296875,167.490478515625,167.490478515625
40,167.23727416992188,0.00020000001,167.23727416992188,167.40093994140625,167.40093994140625
41,167.0084991455078,0.00020000001,167.0084991455078,167.28025817871094,167.28025817871094
42,167.2001190185547,0.00020000001,167.2001190185547,167.5579376220703,167.5579376220703
43,167.19847106933594,0.00020000001,167.19847106933594,167.39573669433594,167.39573669433594
44,167.15936279296875,0.00020000001,167.15936279296875,167.6831512451172,167.6831512451172
45,167.24537658691406,0.00020000001,167.24537658691406,167.60398864746094,167.60398864746094
46,167.08966064453125,0.00020000001,167.08966064453125,167.35633850097656,167.35633850097656
47,166.82614135742188,4.0000003e-05,166.82614135742188,167.24082946777344,167.24082946777344
48,167.03973388671875,4.0000003e-05,167.03973388671875,167.20802307128906,167.20802307128906
49,166.7791748046875,4.0000003e-05,166.7791748046875,167.20742797851562,167.20742797851562
50,166.7375030517578,4.0000003e-05,166.7375030517578,167.22650146484375,167.22650146484375
51,166.72314453125,4.0000003e-05,166.72314453125,167.21417236328125,167.21417236328125
52,166.89129638671875,4.0000003e-05,166.89129638671875,167.30419921875,167.30419921875
53,166.82752990722656,4.0000003e-05,166.82752990722656,167.24790954589844,167.24790954589844
54,166.93521118164062,4.0000003e-05,166.93521118164062,167.2110137939453,167.2110137939453
55,166.80209350585938,8.000001e-06,166.80209350585938,167.21456909179688,167.21456909179688
56,166.72189331054688,8.000001e-06,166.72189331054688,167.19564819335938,167.19564819335938
57,166.77650451660156,8.000001e-06,166.77650451660156,167.2073974609375,167.2073974609375
58,166.64002990722656,8.000001e-06,166.64002990722656,167.18826293945312,167.18826293945312
59,166.9196014404297,8.000001e-06,166.9196014404297,167.2064666748047,167.2064666748047
60,166.7815704345703,8.000001e-06,166.7815704345703,167.20741271972656,167.20741271972656
61,166.85595703125,8.000001e-06,166.85595703125,167.2171173095703,167.2171173095703
62,166.63116455078125,8.000001e-06,166.63116455078125,167.20004272460938,167.20004272460938
63,166.61317443847656,8.000001e-06,166.61317443847656,167.2030029296875,167.2030029296875
64,166.8210906982422,1.6000001e-06,166.8210906982422,167.1953887939453,167.1953887939453
65,166.79083251953125,1.6000001e-06,166.79083251953125,167.19683837890625,167.19683837890625
66,166.76759338378906,1.6000001e-06,166.76759338378906,167.19635009765625,167.19635009765625
67,166.75064086914062,1.6000001e-06,166.75064086914062,167.1981201171875,167.1981201171875
68,166.60214233398438,1.6000001e-06,166.60214233398438,167.19692993164062,167.19692993164062
