epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,185.1951904296875,0.001,185.1951904296875,179.20208740234375,179.20208740234375
1,177.8607635498047,0.001,177.8607635498047,174.42437744140625,174.42437744140625
2,175.17869567871094,0.001,175.17869567871094,173.32041931152344,173.32041931152344
3,174.2803955078125,0.001,174.2803955078125,173.67965698242188,173.67965698242188
4,173.5907440185547,0.001,173.5907440185547,172.06214904785156,172.06214904785156
5,172.98240661621094,0.001,172.98240661621094,172.0504150390625,172.0504150390625
6,172.52432250976562,0.001,172.52432250976562,171.21670532226562,171.21670532226562
7,172.10549926757812,0.001,172.10549926757812,170.37460327148438,170.37460327148438
8,171.90419006347656,0.001,171.90419006347656,170.1168975830078,170.1168975830078
9,171.41490173339844,0.001,171.41490173339844,170.16075134277344,170.16075134277344
10,171.25466918945312,0.001,171.25466918945312,170.34315490722656,170.34315490722656
11,171.05551147460938,0.001,171.05551147460938,170.2135009765625,170.2135009765625
12,170.81057739257812,0.001,170.81057739257812,169.49855041503906,169.49855041503906
13,170.6474151611328,0.001,170.6474151611328,169.24078369140625,169.24078369140625
14,170.3116455078125,0.001,170.3116455078125,169.3387451171875,169.3387451171875
15,170.28631591796875,0.001,170.28631591796875,169.24075317382812,169.24075317382812
16,170.12013244628906,0.001,170.12013244628906,169.03121948242188,169.03121948242188
17,169.8593292236328,0.001,169.8593292236328,168.92498779296875,168.92498779296875
18,169.7000732421875,0.001,169.7000732421875,168.45538330078125,168.45538330078125
19,169.58804321289062,0.001,169.58804321289062,169.4271697998047,169.4271697998047
20,169.52272033691406,0.001,169.52272033691406,168.54486083984375,168.54486083984375
21,169.3048553466797,0.001,169.3048553466797,168.23033142089844,168.23033142089844
22,169.26890563964844,0.001,169.26890563964844,168.45928955078125,168.45928955078125
23,169.11387634277344,0.001,169.11387634277344,168.38352966308594,168.38352966308594
24,169.0697021484375,0.001,169.0697021484375,168.33135986328125,168.33135986328125
25,168.9713134765625,0.001,168.9713134765625,168.1708221435547,168.1708221435547
26,168.93418884277344,0.001,168.93418884277344,168.30389404296875,168.30389404296875
27,168.8057098388672,0.001,168.8057098388672,168.52952575683594,168.52952575683594
28,168.63140869140625,0.001,168.63140869140625,168.22203063964844,168.22203063964844
29,168.5018768310547,0.001,168.5018768310547,167.92343139648438,167.92343139648438
30,168.50772094726562,0.001,168.50772094726562,168.58963012695312,168.58963012695312
31,168.45455932617188,0.001,168.45455932617188,168.16297912597656,168.16297912597656
32,168.34056091308594,0.001,168.34056091308594,167.90802001953125,167.90802001953125
33,168.32460021972656,0.001,168.32460021972656,167.88677978515625,167.88677978515625
34,168.1350555419922,0.001,168.1350555419922,167.8742218017578,167.8742218017578
35,168.22216796875,0.001,168.22216796875,168.2066192626953,168.2066192626953
36,168.08050537109375,0.001,168.08050537109375,167.77899169921875,167.77899169921875
37,167.99655151367188,0.001,167.99655151367188,168.1214599609375,168.1214599609375
38,168.02333068847656,0.001,168.02333068847656,167.8474578857422,167.8474578857422
39,167.88807678222656,0.001,167.88807678222656,167.7631072998047,167.7631072998047
40,167.92935180664062,0.001,167.92935180664062,167.94691467285156,167.94691467285156
41,167.8885040283203,0.001,167.8885040283203,168.35311889648438,168.35311889648438
42,167.7689208984375,0.001,167.7689208984375,167.65292358398438,167.65292358398438
43,168.06390380859375,0.001,168.06390380859375,167.9406280517578,167.9406280517578
44,167.47801208496094,0.001,167.47801208496094,167.58456420898438,167.58456420898438
45,167.63548278808594,0.001,167.63548278808594,167.3950653076172,167.3950653076172
46,167.60430908203125,0.001,167.60430908203125,167.4463653564453,167.4463653564453
47,167.48312377929688,0.001,167.48312377929688,167.49920654296875,167.49920654296875
48,167.586181640625,0.001,167.586181640625,167.7060546875,167.7060546875
49,167.5548858642578,0.001,167.5548858642578,167.90196228027344,167.90196228027344
50,167.2203369140625,0.001,167.2203369140625,167.5289306640625,167.5289306640625
51,166.71986389160156,0.00020000001,166.71986389160156,167.0469207763672,167.0469207763672
52,166.62391662597656,0.00020000001,166.62391662597656,166.96316528320312,166.96316528320312
53,166.61338806152344,0.00020000001,166.61338806152344,166.92161560058594,166.92161560058594
