epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,185.73275756835938,0.001,185.73275756835938,180.2772979736328,180.2772979736328
1,178.51693725585938,0.001,178.51693725585938,175.19322204589844,175.19322204589844
2,175.8170166015625,0.001,175.8170166015625,174.25355529785156,174.25355529785156
3,174.61480712890625,0.001,174.61480712890625,173.10000610351562,173.10000610351562
4,173.9139404296875,0.001,173.9139404296875,172.2549285888672,172.2549285888672
5,173.1408233642578,0.001,173.1408233642578,172.20455932617188,172.20455932617188
6,172.597412109375,0.001,172.597412109375,172.121337890625,172.121337890625
7,172.29046630859375,0.001,172.29046630859375,171.59381103515625,171.59381103515625
8,171.94528198242188,0.001,171.94528198242188,171.25125122070312,171.25125122070312
9,171.52645874023438,0.001,171.52645874023438,170.55406188964844,170.55406188964844
10,171.381103515625,0.001,171.381103515625,170.20321655273438,170.20321655273438
11,171.06016540527344,0.001,171.06016540527344,169.87603759765625,169.87603759765625
12,170.84860229492188,0.001,170.84860229492188,169.5119171142578,169.5119171142578
13,170.45980834960938,0.001,170.45980834960938,169.19412231445312,169.19412231445312
14,170.45773315429688,0.001,170.45773315429688,169.40170288085938,169.40170288085938
15,170.3585662841797,0.001,170.3585662841797,169.0035858154297,169.0035858154297
16,170.04483032226562,0.001,170.04483032226562,169.5140838623047,169.5140838623047
17,169.8932647705078,0.001,169.8932647705078,169.37176513671875,169.37176513671875
18,169.73410034179688,0.001,169.73410034179688,169.21299743652344,169.21299743652344
19,169.52352905273438,0.001,169.52352905273438,168.6158447265625,168.6158447265625
20,169.51919555664062,0.001,169.51919555664062,168.6123809814453,168.6123809814453
21,169.36572265625,0.001,169.36572265625,168.9130096435547,168.9130096435547
22,169.32748413085938,0.001,169.32748413085938,168.6288299560547,168.6288299560547
23,169.15277099609375,0.001,169.15277099609375,169.12677001953125,169.12677001953125
24,169.05581665039062,0.001,169.05581665039062,168.39529418945312,168.39529418945312
25,168.96908569335938,0.001,168.96908569335938,168.28054809570312,168.28054809570312
26,168.89865112304688,0.001,168.89865112304688,168.5823974609375,168.5823974609375
27,169.01919555664062,0.001,169.01919555664062,168.23927307128906,168.23927307128906
28,168.79229736328125,0.001,168.79229736328125,168.2392578125,168.2392578125
29,168.69692993164062,0.001,168.69692993164062,168.66429138183594,168.66429138183594
30,168.68385314941406,0.001,168.68385314941406,168.0640106201172,168.0640106201172
31,168.5412139892578,0.001,168.5412139892578,168.7493438720703,168.7493438720703
32,168.42889404296875,0.001,168.42889404296875,168.15725708007812,168.15725708007812
33,168.50372314453125,0.001,168.50372314453125,168.12107849121094,168.12107849121094
34,168.32643127441406,0.001,168.32643127441406,168.0823974609375,168.0823974609375
35,168.28704833984375,0.001,168.28704833984375,168.34959411621094,168.34959411621094
36,167.4563751220703,0.00020000001,167.4563751220703,167.64675903320312,167.64675903320312
37,167.3988037109375,0.00020000001,167.3988037109375,167.59042358398438,167.59042358398438
38,167.35879516601562,0.00020000001,167.35879516601562,167.53636169433594,167.53636169433594
39,166.98764038085938,0.00020000001,166.98764038085938,167.5024871826172,167.5024871826172
40,167.10653686523438,0.00020000001,167.10653686523438,167.38995361328125,167.38995361328125
41,167.1954345703125,0.00020000001,167.1954345703125,167.3212127685547,167.3212127685547
42,167.09495544433594,0.00020000001,167.09495544433594,167.40249633789062,167.40249633789062
43,167.07691955566406,0.00020000001,167.07691955566406,167.25070190429688,167.25070190429688
44,167.13583374023438,0.00020000001,167.13583374023438,167.4509735107422,167.4509735107422
45,167.0486297607422,0.00020000001,167.0486297607422,167.31639099121094,167.31639099121094
46,166.91468811035156,0.00020000001,166.91468811035156,167.24835205078125,167.24835205078125
47,166.98895263671875,0.00020000001,166.98895263671875,167.35926818847656,167.35926818847656
48,166.9124298095703,0.00020000001,166.9124298095703,167.4913330078125,167.4913330078125
49,166.89134216308594,0.00020000001,166.89134216308594,167.39039611816406,167.39039611816406
50,166.81277465820312,0.00020000001,166.81277465820312,167.26931762695312,167.26931762695312
51,166.64146423339844,0.00020000001,166.64146423339844,167.11375427246094,167.11375427246094
52,166.87759399414062,0.00020000001,166.87759399414062,167.34451293945312,167.34451293945312
53,166.79965209960938,0.00020000001,166.79965209960938,167.32162475585938,167.32162475585938
54,166.73326110839844,0.00020000001,166.73326110839844,167.32504272460938,167.32504272460938
55,166.9857635498047,0.00020000001,166.9857635498047,167.24984741210938,167.24984741210938
56,166.83409118652344,0.00020000001,166.83409118652344,167.26710510253906,167.26710510253906
57,166.42221069335938,4.0000003e-05,166.42221069335938,167.1424560546875,167.1424560546875
58,166.52012634277344,4.0000003e-05,166.52012634277344,167.1097412109375,167.1097412109375
59,166.44845581054688,4.0000003e-05,166.44845581054688,167.12655639648438,167.12655639648438
60,166.4887237548828,4.0000003e-05,166.4887237548828,167.13450622558594,167.13450622558594
61,166.53668212890625,4.0000003e-05,166.53668212890625,167.13011169433594,167.13011169433594
62,166.46009826660156,4.0000003e-05,166.46009826660156,167.1455535888672,167.1455535888672
63,166.544189453125,4.0000003e-05,166.544189453125,167.1427001953125,167.1427001953125
64,166.3326416015625,8.000001e-06,166.3326416015625,167.1053466796875,167.1053466796875
65,166.46115112304688,8.000001e-06,166.46115112304688,167.0988311767578,167.0988311767578
66,166.42984008789062,8.000001e-06,166.42984008789062,167.08981323242188,167.08981323242188
67,166.5623779296875,8.000001e-06,166.5623779296875,167.0904541015625,167.0904541015625
