epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,1240.6300048828125,0.001,1240.6300048828125,990.4776611328125,990.4776611328125
1,1102.3145751953125,0.001,1102.3145751953125,971.8571166992188,971.8571166992188
2,1078.0362548828125,0.001,1078.0362548828125,946.8250122070312,946.8250122070312
3,1066.4862060546875,0.001,1066.4862060546875,945.0038452148438,945.0038452148438
4,1061.592529296875,0.001,1061.592529296875,931.5870971679688,931.5870971679688
5,1051.50927734375,0.001,1051.50927734375,946.7931518554688,946.7931518554688
6,1043.3819580078125,0.001,1043.3819580078125,917.6956787109375,917.6956787109375
7,1034.197509765625,0.001,1034.197509765625,907.5099487304688,907.5099487304688
8,1019.6170654296875,0.001,1019.6170654296875,904.6473999023438,904.6473999023438
9,1014.64697265625,0.001,1014.64697265625,914.99560546875,914.99560546875
10,1008.2032470703125,0.001,1008.2032470703125,906.4113159179688,906.4113159179688
11,1001.554931640625,0.001,1001.554931640625,888.59228515625,888.59228515625
12,991.334228515625,0.001,991.334228515625,877.4984130859375,877.4984130859375
13,983.496826171875,0.001,983.496826171875,879.6134643554688,879.6134643554688
14,979.1809692382812,0.001,979.1809692382812,874.17724609375,874.17724609375
15,972.8738403320312,0.001,972.8738403320312,897.1546020507812,897.1546020507812
16,967.23974609375,0.001,967.23974609375,867.6107177734375,867.6107177734375
17,965.5181884765625,0.001,965.5181884765625,874.646484375,874.646484375
18,958.7470092773438,0.001,958.7470092773438,865.0111694335938,865.0111694335938
19,957.4094848632812,0.001,957.4094848632812,883.810791015625,883.810791015625
20,956.6377563476562,0.001,956.6377563476562,864.1166381835938,864.1166381835938
21,954.786376953125,0.001,954.786376953125,874.302001953125,874.302001953125
22,951.0167846679688,0.001,951.0167846679688,863.7274780273438,863.7274780273438
23,947.3566284179688,0.001,947.3566284179688,864.4779052734375,864.4779052734375
24,944.0816650390625,0.001,944.0816650390625,860.278564453125,860.278564453125
25,942.2822875976562,0.001,942.2822875976562,862.59033203125,862.59033203125
26,940.8272705078125,0.001,940.8272705078125,861.2807006835938,861.2807006835938
27,937.236083984375,0.001,937.236083984375,856.3479614257812,856.3479614257812
28,934.1317749023438,0.001,934.1317749023438,857.8897705078125,857.8897705078125
29,930.454345703125,0.001,930.454345703125,855.3250732421875,855.3250732421875
30,927.3941040039062,0.001,927.3941040039062,857.5658569335938,857.5658569335938
31,925.0718383789062,0.001,925.0718383789062,858.4970703125,858.4970703125
32,923.2610473632812,0.001,923.2610473632812,855.1851806640625,855.1851806640625
