epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,1161.5106201171875,0.001,1161.5106201171875,975.9126586914062,975.9126586914062
1,1089.2291259765625,0.001,1089.2291259765625,968.3348999023438,968.3348999023438
2,1070.787109375,0.001,1070.787109375,928.13623046875,928.13623046875
3,1047.72119140625,0.001,1047.72119140625,915.7771606445312,915.7771606445312
4,1021.4496459960938,0.001,1021.4496459960938,905.3612670898438,905.3612670898438
5,1009.0546264648438,0.001,1009.0546264648438,902.8633422851562,902.8633422851562
6,999.3274536132812,0.001,999.3274536132812,894.6214599609375,894.6214599609375
7,989.48583984375,0.001,989.48583984375,895.9931640625,895.9931640625
8,983.5546875,0.001,983.5546875,903.922119140625,903.922119140625
9,972.12548828125,0.001,972.12548828125,883.8922119140625,883.8922119140625
10,961.4200439453125,0.001,961.4200439453125,875.1430053710938,875.1430053710938
11,952.0297241210938,0.001,952.0297241210938,870.2867431640625,870.2867431640625
12,946.65283203125,0.001,946.65283203125,868.3937377929688,868.3937377929688
13,939.4601440429688,0.001,939.4601440429688,864.9926147460938,864.9926147460938
14,933.6879272460938,0.001,933.6879272460938,865.340087890625,865.340087890625
15,929.9332885742188,0.001,929.9332885742188,866.614990234375,866.614990234375
16,924.3591918945312,0.001,924.3591918945312,859.7603149414062,859.7603149414062
17,920.39013671875,0.001,920.39013671875,876.34521484375,876.34521484375
18,915.9274291992188,0.001,915.9274291992188,859.556640625,859.556640625
19,911.3109741210938,0.001,911.3109741210938,855.6002197265625,855.6002197265625
20,907.7869262695312,0.001,907.7869262695312,848.8005981445312,848.8005981445312
21,903.700439453125,0.001,903.700439453125,850.3932495117188,850.3932495117188
22,898.3060913085938,0.001,898.3060913085938,847.0057373046875,847.0057373046875
23,897.5328979492188,0.001,897.5328979492188,853.0818481445312,853.0818481445312
24,892.5463256835938,0.001,892.5463256835938,848.5357666015625,848.5357666015625
25,889.4236450195312,0.001,889.4236450195312,842.6392822265625,842.6392822265625
26,887.0651245117188,0.001,887.0651245117188,847.5768432617188,847.5768432617188
27,884.6741943359375,0.001,884.6741943359375,844.6860961914062,844.6860961914062
28,881.5516967773438,0.001,881.5516967773438,845.3621215820312,845.3621215820312
29,878.5494995117188,0.001,878.5494995117188,845.0560302734375,845.0560302734375
30,877.802978515625,0.001,877.802978515625,839.9730834960938,839.9730834960938
31,873.6997680664062,0.001,873.6997680664062,846.9715576171875,846.9715576171875
32,873.7803344726562,0.001,873.7803344726562,838.6263427734375,838.6263427734375
33,871.7310791015625,0.001,871.7310791015625,835.739013671875,835.739013671875
34,870.3209228515625,0.001,870.3209228515625,838.0205078125,838.0205078125
35,868.9069213867188,0.001,868.9069213867188,837.0045776367188,837.0045776367188
36,867.2658081054688,0.001,867.2658081054688,833.3944091796875,833.3944091796875
37,866.7967529296875,0.001,866.7967529296875,831.1129760742188,831.1129760742188
38,864.5875244140625,0.001,864.5875244140625,839.391845703125,839.391845703125
39,863.5110473632812,0.001,863.5110473632812,839.72119140625,839.72119140625
40,861.379638671875,0.001,861.379638671875,837.6756591796875,837.6756591796875
41,861.5325927734375,0.001,861.5325927734375,834.0396118164062,834.0396118164062
42,859.3380737304688,0.001,859.3380737304688,831.232421875,831.232421875
43,850.417724609375,0.00020000001,850.417724609375,827.1755981445312,827.1755981445312
44,851.562744140625,0.00020000001,851.562744140625,827.849365234375,827.849365234375
